dac_code,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad
17152,7199712,6789550,6768738,7202204,6789562,6768732,7201358,6789568,6768732,7199512,6789566,6768727,7201848,6789562,6768730,7199340,6789558,6768711,7200325,6789560,6768739,7202460,6789564,6768732,7201374,6789562,6768727,7200661,6789570,6768746
17408,7220437,6815790,6795302,7218900,6815797,6795304,7219564,6815802,6795306,7219961,6815799,6795298,7217530,6815804,6795286,7219040,6815795,6795296,7219499,6815804,6795304,7220024,6815799,6795310,7220281,6815797,6795304,7219094,6815794,6795306
17664,7238007,6842010,6821861,7238372,6842014,6821863,7238170,6842015,6821864,7238658,6842010,6821848,7240174,6842019,6821850,7235780,6842018,6821863,7238422,6842019,6821860,7238164,6842013,6821855,7238796,6842018,6821853,7237040,6842021,6821858
17920,7256054,6868189,6848377,7254822,6868198,6848371,7256516,6868197,6848370,7256820,6868209,6848367,7255249,6868194,6848370,7256072,6868198,6848365,7257427,6868198,6848371,7255930,6868191,6848373,7257288,6868205,6848384,7256498,6868190,6848372
18176,7271962,6894410,6874930,7272006,6894419,6874950,7274620,6894425,6874944,7273830,6894414,6874932,7275834,6894428,6874930,7274444,6894426,6874944,7275860,6894429,6874932,7274766,6894421,6874934,7274815,6894428,6874944,7274784,6894429,6874950
18432,7292314,6920668,6901530,7292439,6920658,6901513,7293311,6920678,6901517,7291717,6920668,6901517,7291700,6920668,6901519,7292498,6920666,6901509,7293100,6920668,6901526,7293825,6920672,6901515,7292908,6920666,6901503,7292444,6920664,6901516
18688,7310263,6946874,6928068,7312093,6946884,6928070,7309482,6946874,6928068,7310572,6946880,6928066,7309526,6946892,6928068,7310026,6946874,6928062,7309980,6946884,6928064,7310702,6946892,6928062,7311316,6946864,6928062,7310304,6946884,6928064
18944,7327729,6973064,6954580,7329286,6973062,6954578,7327616,6973045,6954580,7327618,6973066,6954576,7327998,6973047,6954572,7327768,6973062,6954578,7328842,6973056,6954576,7329690,6973060,6954576,7330326,6973058,6954566,7329184,6973058,6954568
19200,7345318,6999268,6981140,7346969,6999280,6981131,7346957,6999278,6981143,7346026,6999292,6981141,7346510,6999288,6981148,7347010,6999276,6981140,7347504,6999290,6981122,7346396,6999280,6981129,7346776,6999286,6981140,7345894,6999278,6981134
19456,7365464,7025527,7007708,7365085,7025525,7007710,7366519,7025530,7007719,7363834,7025516,7007708,7365372,7025518,7007710,7364459,7025524,7007712,7365028,7025522,7007720,7365741,7025512,7007708,7365676,7025512,7007706,7364822,7025518,7007724
19712,7383266,7051752,7034273,7382331,7051743,7034259,7381646,7051760,7034273,7384302,7051752,7034269,7382661,7051754,7034282,7384009,7051746,7034290,7381488,7051752,7034276,7383923,7051748,7034284,7383283,7051758,7034278,7381560,7051765,7034274
19968,7400274,7077923,7060786,7402537,7077931,7060784,7400324,7077925,7060784,7400578,7077924,7060784,7399259,7077927,7060780,7399908,7077929,7060786,7403651,7077926,7060778,7399682,7077921,7060786,7399807,7077931,7060782,7401758,7077931,7060780
20224,7420312,7104146,7087334,7419650,7104150,7087334,7419340,7104146,7087349,7419689,7104147,7087341,7420401,7104149,7087354,7419064,7104147,7087339,7419037,7104152,7087349,7419246,7104142,7087356,7419816,7104141,7087347,7418821,7104146,7087336
20480,7437569,7130386,7113912,7435750,7130382,7113914,7439544,7130381,7113912,7437235,7130387,7113906,7437528,7130385,7113898,7440116,7130383,7113906,7438664,7130382,7113899,7437896,7130380,7113912,7439108,7130386,7113910,7438136,7130382,7113914
20736,7455427,7156610,7140468,7455560,7156604,7140466,7455882,7156596,7140468,7456524,7156600,7140456,7456452,7156602,7140464,7456596,7156606,7140466,7457504,7156604,7140460,7455266,7156600,7140468,7456490,7156604,7140464,7458460,7156600,7140460
20992,7475834,7182820,7167025,7472154,7182836,7167018,7474500,7182830,7167014,7472521,7182828,7167015,7476211,7182828,7167025,7474604,7182822,7167016,7474770,7182820,7167018,7471087,7182818,7167015,7472396,7182812,7167010,7474611,7182820,7167026
21248,7491519,7208996,7193527,7492640,7209012,7193532,7490816,7209006,7193532,7492546,7209006,7193542,7494728,7209004,7193540,7493926,7209006,7193530,7491788,7209014,7193544,7491621,7209006,7193536,7492108,7209006,7193525,7492120,7209004,7193542
21504,7512414,7235242,7220084,7509862,7235224,7220088,7509944,7235222,7220090,7509268,7235226,7220082,7510845,7235218,7220092,7509385,7235220,7220088,7509506,7235234,7220086,7512050,7235220,7220086,7509004,7235228,7220096,7509430,7235220,7220084
21760,7528816,7261455,7246660,7527279,7261460,7246653,7529125,7261466,7246662,7528050,7261463,7246651,7529170,7261462,7246656,7529036,7261459,7246654,7527716,7261457,7246658,7528006,7261464,7246655,7528448,7261444,7246657,7528044,7261462,7246650
